state,county,lat,lon,population
AR,Marion,36.2844,-92.6602,16826
AR,Miller,33.4024,-93.9872,42600
AR,Mississippi,35.8434,-90.0016,40685
AR,Monroe,34.7771,-91.2215,6799
AR,Montgomery,34.5146,-93.6224,8484
AR,Nevada,33.7255,-93.3594,8310
AR,Newton,35.9826,-93.1657,7225
AR,Ouachita,33.5738,-92.8387,22650
AR,Perry,34.9987,-92.7777,10019
AR,Phillips,34.5309,-90.7038,16568
AR,Pike,34.1864,-93.6262,10171
AR,Poinsett,35.6048,-90.5584,22965
AR,Polk,34.5228,-94.2579,19221
AR,Pope,35.3091,-93.0968,63381
AR,Prairie,34.8638,-91.5405,8282
AR,Pulaski,34.7752,-92.3151,399125
AR,Randolph,36.3021,-90.9896,18571
AR,Saline,34.5970,-92.5461,123416
AR,Scott,34.9042,-94.0970,9836
AR,Searcy,35.9231,-92.6607,7828
AR,Sebastian,35.3187,-94.3548,127799
AR,Sevier,34.0153,-94.3038,15839
AR,Sharp,36.1781,-91.5195,17271
AR,St. Francis,35.0164,-90.7749,23090
AR,Stone,35.8557,-92.1338,12359
AR,Union,33.2074,-92.6520,39054
AR,Van Buren,35.5681,-92.4201,15796
AR,Washington,36.0959,-94.1723,245871
AR,White,35.2394,-91.7736,76822
AR,Woodruff,35.2332,-91.2510,6269
AR,Yell,35.1278,-93.2829,20263
AZ,Apache,35.5437,-109.4190,66021
AZ,Cochise,31.6035,-110.0728,125447
AZ,Coconino,35.4761,-111.6018,145101
AZ,Gila,33.8444,-111.0150,53272
AZ,Graham,32.8671,-109.8081,38533
AZ,Greenlee,32.9852,-109.2595,9563
AZ,La Paz,33.9542,-114.1838,16557
AZ,Maricopa,33.4901,-112.0440,4420568
AZ,Mohave,35.0345,-114.2624,213267
AZ,Navajo,34.8622,-110.2052,106717
AZ,Pima,32.2164,-110.9580,1043433
AZ,Pinal,33.0693,-111.6021,425264
AZ,Santa Cruz,31.4392,-110.9459,47669
AZ,Yavapai,34.6287,-112.2738,236209
AZ,Yuma,32.6414,-114.6054,203881
CA,Alameda,37.7066,-122.0988,1682353
CA,Alpine,38.7285,-119.8478,1204
CA,Amador,38.3959,-120.7780,40474
CA,Butte,39.6589,-121.7265,211632
CA,Calaveras,38.1573,-120.6452,45292
CA,Colusa,39.1534,-122.0838,21839
CA,Contra Costa,37.9350,-122.0250,1165927
CA,Del Norte,41.7908,-124.1642,27743
CA,El Dorado,38.7410,-120.7614,191185
CA,Fresno,36.7438,-119.7653,1008654
CA,Glenn,39.6658,-122.1793,28917
CA,Humboldt,40.7576,-124.0881,136463
CA,Imperial,32.8416,-115.5400,179702
CA,Inyo,37.1714,-118.2686,19016
CA,Kern,35.3698,-118.9418,909235
CA,Kings,36.2527,-119.7269,152486
CA,Lake,38.9762,-122.7329,68163
CA,Lassen,40.3937,-120.5845,32730
CA,Los Angeles,34.0679,-118.2460,10014009
CA,Madera,37.0371,-120.0098,156255
CA,Marin,37.9865,-122.5467,262321
CA,Mariposa,37.5321,-119.9714,17131
CA,Mendocino,39.2856,-123.3942,91601
CA,Merced,37.2748,-120.6289,281202
CA,Modoc,41.5217,-120.6312,8700
CA,Mono,37.7730,-118.9706,13195
CA,Monterey,36.6147,-121.6467,439035
CA,Napa,38.3251,-122.3200,138019
CA,Nevada,39.2200,-120.9152,102241
CA,Orange,33.7327,-117.8588,3186989
CA,Placer,38.8397,-121.1984,404739
CA,Plumas,39.9812,-120.8220,19790
CA,Riverside,33.7993,-117.0770,2418185
CA,Sacramento,38.5683,-121.3812,1585055
CA,San Benito,36.8431,-121.4026,64209
CA,San Bernardino,34.1910,-117.3598,2181654
CA,San Diego,32.8844,-117.1123,3298634
CA,San Francisco,37.7606,-122.4365,873965
CA,San Joaquin,37.9245,-121.3023,779233
CA,San Luis Obispo,35.3418,-120.6658,282424
CA,San Mateo,37.5636,-122.3399,764442
CA,Santa Barbara,34.6451,-120.1029,448229
CA,Santa Clara,37.3155,-121.9111,1936259
CA,Santa Cruz,36.9863,-121.9387,270861
CA,Shasta,40.5783,-122.3001,182155
CA,Sierra,39.6072,-120.4219,3236
CA,Siskiyou,41.5727,-122.4937,44076
CA,Solano,38.2363,-122.0673,453491
CA,Sonoma,38.4123,-122.7204,488863
CA,Stanislaus,37.6184,-120.9559,552878
CA,Sutter,39.1372,-121.6440,99633
CA,Tehama,40.1148,-122.2191,65829
CA,Trinity,40.6300,-123.0966,16112
CA,Tulare,36.2541,-119.2345,473117
CA,Tuolumne,37.9720,-120.3252,55620
CA,Ventura,34.2428,-119.0255,843843
CA,Yolo,38.5982,-121.7189,216403
CA,Yuba,39.1319,-121.5106,81575
CO,Adams,39.8769,-104.9209,519572
CO,Alamosa,37.4819,-105.8776,16376
CO,Arapahoe,39.6466,-104.8386,655070
CO,Archuleta,37.2403,-107.0898,13359
CO,Baca,37.3681,-102.5320,3506
CO,Bent,38.0729,-103.1660,5650
CO,Boulder,40.0630,-105.1802,330758
CO,Broomfield,39.9399,-105.0581,74112
CO,Chaffee,38.6768,-106.0851,19476
CO,Cheyenne,38.8177,-102.4701,1748
CO,Clear Creek,39.7135,-105.5325,9397
CO,Conejos,37.1996,-105.9873,7461
CO,Costilla,37.2922,-105.4443,3499
CO,Crowley,38.1938,-103.8564,5922
CO,Custer,38.1332,-105.3825,4704
CO,Delta,38.7982,-107.9138,31196
CO,Denver,39.7249,-104.9500,715522
CO,Dolores,37.7469,-108.7587,2326
CO,Douglas,39.4820,-104.8736,357978
CO,Eagle,39.6005,-106.7334,55731
CO,El Paso,38.8773,-104.7521,730395
CO,Elbert,39.3886,-104.5231,26062
