domain,org,city,state,type,qid,website
chld.org,Coalinga–Huron Library District,Coalinga–Huron,CA,Special district,Q66364334,https://www.chld.org/
santacruzpl.org,Santa Cruz Public Libraries,Santa Cruz County,CA,Special district,Q66369382,https://www.santacruzpl.org/
prattlibrary.org,Enoch Pratt Free Library,Baltimore,MD,Special district,Q69478541,https://www.prattlibrary.org/
waukeganparks.org,Waukegan Park District,Waukegan,IL,Special district,Q123583689,https://www.waukeganparks.org/
basinrecreation.org,Basin Recreation,Summit County,UT,Special district,Q124174897,https://www.basinrecreation.org/
miamicountyparks.com,Miami County Park District,Miami County,OH,Special district,Q124719322,https://www.miamicountyparks.com/index.php/
stcparks.org,St. Charles Park District,St. Charles,IL,Special district,Q130100262,https://www.stcparks.org/
rrpark.org,River Road Park & Recreation District,Lane County,OR,Special district,Q131560669,https://www.rrpark.org/
morrowcountyparkdistrict.org,Morrow County Park District,Morrow County,OH,Special district,Q133257861,https://morrowcountyparkdistrict.org/
ifoothills.org,Foothills Park & Recreation District,Jefferson County,CO,Special district,Q135154904,https://www.ifoothills.org
keypenparks.com,Key Peninsula Metropolitan Park District,Key Peninsula Metropolitan,WA,Special district,Q138065981,https://www.keypenparks.com/
penmetparks.org,Peninsula Metropolitan Park District,Peninsula Metropolitan,WA,Special district,Q138163845,https://penmetparks.org/
ntprd.org,National Trail Parks & Recreation District,Clark County,OH,Special district,Q138818468,https://ntprd.org/
geneseecountyparks.org,Genesee County Parks & Recreation Commission,Genesee County,MI,Special district,Q139701387,https://geneseecountyparks.org
hpparks.org,Hanover Park Park District,Hanover Park,IL,Special district,Q139903164,https://www.hpparks.org/
elkgroveparks.org,Elk Grove Park District,Elk Grove,IL,Special district,Q139913214,https://www.elkgroveparks.org/
bartlettparks.org,Bartlett Park District,Bartlett,IL,Special district,Q139913917,https://bartlettparks.org/
dallascollege.edu,Dallas College,Dallas County,TX,Special district,Q567797,https://www.dallascollege.edu
septa.org,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Special district,Q2037863,http://www.septa.org/
realtime.septa.org,Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,Special district,Q2037863,https://realtime.septa.org/
chevychasesection5.org,Chevy Chase Section Five,Montgomery County,MD,Special district,Q2469073,https://www.chevychasesection5.org/
oversightdistrict.org,Central Florida Tourism Oversight District,Florida,FL,Special district,Q3423018,https://www.oversightdistrict.org/
ccrfcd.org,Clark County Regional Flood Control District,Clark County,NV,Special district,Q5127198,http://ccrfcd.org/
cleanwaterteam.com,Clark County Water Reclamation District,Clark County,NV,Special district,Q5127205,https://www.cleanwaterteam.com/Pages/default.aspx
villageofdrummond.com,Drummond,Montgomery County,MD,Special district,Q5309208,http://www.villageofdrummond.com/
fhda.edu,Foothill–De Anza Community College District,Santa Clara County,CA,Special district,Q5466473,http://www.fhda.edu/
dupageforest.com,Forest Preserve District of DuPage County,Forest Preserve District of DuPage,IL,Special district,Q5469079,https://www.dupageforest.com/
fpdcc.com,Forest Preserve District of Cook County,Forest Preserve District of Cook,IL,Special district,Q5469080,https://fpdcc.com
reconnectwithnature.org,Forest Preserve District of Will County,Forest Preserve District of Will,IL,Special district,Q5469081,https://www.reconnectwithnature.org/
gcccd.edu,Grossmont–Cuyamaca Community College District,California,CA,Special district,Q5610607,http://www.gcccd.edu/
kctcs.edu,Kentucky Community and Technical College System,Versailles,KY,Special district,Q6392203,http://www.kctcs.edu/
laccd.edu,Los Angeles Community College District,Woodland Hills,CA,Special district,Q6682044,http://www.laccd.edu/
losrios.edu,Los Rios Community College District,California,CA,Special district,Q6683236,http://www.losrios.edu
www2.maricopa.edu,Maricopa County Community College District,Tempe,AZ,Special district,Q6762585,https://www2.maricopa.edu/
openspace.org,Midpeninsula Regional Open Space District,California,CA,Special district,Q6842951,https://www.openspace.org/
mid.org,Modesto Irrigation District,California,CA,Special district,Q6889224,https://www.mid.org/
nocccd.edu,North Orange County Community College District,Orange County,CA,Special district,Q7056230,https://www.nocccd.edu/
