domain,org,city,state,type,qid,website,lat,lon,enrollment
highlineschools.org,Highline Public Schools,Burien,WA,School district,Q5759524,https://www.highlineschools.org/,47.46228,-122.337961,18048
irondistrict.org,Iron County School District,Cedar City,UT,School district,Q6072422,https://irondistrict.org/,37.65892,-113.087661,12739
issaquah.wednet.edu,Issaquah School District,Issaquah,WA,School district,Q6088123,https://www.issaquah.wednet.edu/,47.55464,-122.047321,19524
jefferson.kyschools.us,Jefferson County Public Schools,Louisville,KY,School district,Q6175438,https://www.jefferson.kyschools.us/,38.1995,-85.6851,95230
jpschools.org,Jefferson Parish Public Schools,Harvey,LA,School district,Q6175551,http://jpschools.org/,29.908926,-90.068384,50628
judsonisd.org,Judson Independent School District,San Antonio,TX,School district,Q6304246,https://www.judsonisd.org/,29.553083,-98.329423,25871
kalamazoopublicschools.com,Kalamazoo Public Schools,Kalamazoo,MI,School district,Q6350407,https://www.kalamazoopublicschools.com/,42.27436,-85.600831,12298
katyisd.org,Katy Independent School District,Katy,TX,School district,Q6378510,https://www.katyisd.org/,29.7803,-95.8327,92667
kellerisd.net,Keller Independent School District,Keller,TX,School district,Q6385682,https://www.kellerisd.net/,32.934159,-97.247449,34078
ksd.org,Kennewick School District,Kennewick,WA,School district,Q6390887,https://www.ksd.org/,46.206378,-119.133653,19311
kusd.edu,Kenosha Unified School District,Kenosha,WI,School district,Q6391322,https://www.kusd.edu/,42.589206,-87.852687,19069
alamogordoschools.org,Alamogordo Public Schools,Alamogordo,NM,School district,Q4705987,https://www.alamogordoschools.org/,32.902381,-105.950617,5575
k12albemarle.org,Albemarle County Public Schools,Charlottesville,VA,School district,Q4709498,https://www.k12albemarle.org/,38.034707,-78.483739,13937
albertk12.org,Albertville City Schools,Albertville,AL,School district,Q4712303,https://www.albertk12.org/,34.282186,-86.223627,5900
aps.edu,Albuquerque Public Schools,Albuquerque,NM,School district,Q4712830,https://www.aps.edu/,35.102965,-106.572756,79805
aacps.org,Anne Arundel County Public Schools,Annapolis,MD,School district,Q4768130,https://www.aacps.org/,38.97612,-76.559401,84452
nhps.net,New Haven Public Schools,New Haven,CT,School district,Q539692,http://www.nhps.net/,41.299967,-72.926296,19150
montgomeryschoolsmd.org,Montgomery County Public Schools,Rockville,MD,School district,Q599573,https://www.montgomeryschoolsmd.org/,39.095191,-77.158219,160554
wsfcs.k12.nc.us,Winston-Salem/Forsyth County Schools,Winston Salem,NC,School district,Q615158,https://www.wsfcs.k12.nc.us/,36.17996,-80.281211,52717
lcps.net,Las Cruces Public Schools,Las Cruces,NM,School district,Q981316,http://www.lcps.net/,32.303908,-106.77549,23631
scusd.edu,Sacramento City Unified School District,Sacramento,CA,School district,Q1085749,https://www.scusd.edu/,38.510947,-121.438798,38821
myips.org,Indianapolis Public Schools,Indianapolis,IN,School district,Q1661331,https://www.myips.org/,39.777329,-86.154602,22027
bostonpublicschools.org,Boston Public Schools,Roxbury,MA,School district,Q2215021,https://www.bostonpublicschools.org/,42.330141,-71.083712,46367
cmsk12.org,Charlotte-Mecklenburg Schools,Charlotte,NC,School district,Q2944229,https://www.cmsk12.org/,35.187118,-80.889273,144197
cps-k12.org,Cincinnati Public Schools,Cincinnati,OH,School district,Q3065651,https://www.cps-k12.org/,39.130446,-84.502336,35585
polkschoolsfl.com,Polk County Public Schools,Bartow,FL,School district,Q3907585,https://polkschoolsfl.com,27.87546,-81.846336,109558
abbotsford.k12.wi.us,Abbotsford School District,Abbotsford,WI,School district,Q4664312,https://www.abbotsford.k12.wi.us/,44.949886,-90.332138,798
aberdeen58.org,Aberdeen School District,Aberdeen,ID,School district,Q4666976,http://www.aberdeen58.org/,42.943667,-112.844022,673
asd5.org,Aberdeen School District,Aberdeen,WA,School district,Q4666980,https://www.asd5.org/,46.9784,-123.816491,3304
ahsd.org,Abington Heights School District,Clarks Summit,PA,School district,Q4667866,http://www.ahsd.org/,41.49395,-75.698161,3474
addisonschools.org,Addison Community Schools,Addison,MI,School district,Q4681245,http://addisonschools.org/,41.988423,-84.343967,717
adrianmaples.org,Adrian Public Schools,Adrian,MI,School district,Q4685293,https://www.adrianmaples.org/,41.911067,-84.048422,2771
hillsboroughschools.org,Hillsborough County Public Schools,Tampa,FL,School district,Q8778311,https://www.hillsboroughschools.org/,27.949214,-82.452317,224538
academicsplus.org,Academics Plus Public Charter Schools,Maumelle,AR,School district,Q15178025,http://www.academicsplus.org/,34.865497,-92.403858,1825
tuckahoeschools.org,Tuckahoe Union Free School District,Eastchester,NY,School district,Q16940137,https://www.tuckahoeschools.org/,40.942937,-73.812456,1093
norwichpublicschools.org,Norwich Public Schools,Norwich,CT,School district,Q16941082,https://www.norwichpublicschools.org/,41.548506,-72.095229,3348
grotonschools.org,Groton Public Schools,Mystic,CT,School district,Q17019899,https://www.grotonschools.org/,41.386336,-72.004515,4104
hartfordschools.org,Hartford Public Schools,Hartford,CT,School district,Q22058805,https://www.hartfordschools.org/,41.747098,-72.672813,16774
lacoe.edu,Los Angeles County Office of Education,Downey,CA,School district,Q28599702,http://www.lacoe.edu/,33.916402,-118.129286,1533
saultschools.org,Sault Ste. Marie Area Public Schools,Sault Sainte Marie,MI,School district,Q30258296,https://www.saultschools.org/,46.480174,-84.343907,1953
pgs.k12.va.us,Prince George County Public Schools,Prince George,VA,School district,Q30266691,https://www.pgs.k12.va.us/,37.222456,-77.288115,6106
perucsd.org,Peru Central School District,Peru,NY,School district,Q48743814,https://www.perucsd.org,44.582837,-73.534357,1877
plattscsd.org,Plattsburgh City School District,Plattsburgh,NY,School district,Q55322610,http://www.plattscsd.org,44.69445,-73.458721,1735
sbschools.net,South Burlington School District,South Burlington,VT,School district,Q56678634,https://www.sbschools.net,44.456733,-73.177403,2717
saranac.org,Saranac Central School District,Dannemora,NY,School district,Q56744609,http://www.saranac.org/,44.71322,-73.721441,1513
kent.k12.wa.us,Kent School District,Kent,WA,School district,Q6391894,https://www.kent.k12.wa.us/,47.37121,-122.179584,25586
kenton.k12.ky.us,Kenton County School District,Fort Wright,KY,School district,Q6392077,https://www.kenton.k12.ky.us/,39.030458,-84.532072,14066
killeenisd.org,Killeen Independent School District,Killeen,TX,School district,Q6407407,https://www.killeenisd.org/frontPageV3/,31.115987,-97.71063,43935
kcsd.k12.or.us,Klamath County School District,Klamath Falls,OR,School district,Q6419633,https://www.kcsd.k12.or.us/,42.195982,-121.792118,7081
knoxschools.org,Knox County Schools,Knoxville,TN,School district,Q6423553,https://www.knoxschools.org/,35.96659,-83.91988,60609
lwsd.org,Lake Washington School District,Redmond,WA,School district,Q6478432,https://www.lwsd.org/,47.670953,-122.12338,30991
lamar.k12.ga.us,Lamar County School District,Barnesville,GA,School district,Q6480853,https://www.lamar.k12.ga.us/,33.045442,-84.183599,2820
leonschools.net,Leon County Schools,Tallahassee,FL,School district,Q6524588,https://www.leonschools.net/,30.44064,-84.334411,32212
lrsd.org,Little Rock School District,Little Rock,AR,School district,Q6651765,https://www.lrsd.org/,34.74966,-92.279421,21456
lrsd.k12.ar.us,Little Rock School District,Little Rock,AR,School district,Q6651765,http://www.lrsd.k12.ar.us/,34.74966,-92.279421,21456
lcps.org,Loudoun County Public Schools,Ashburn,VA,School district,Q6686038,https://www.lcps.org/,39.033782,-77.517269,81678
csdnb.org,New Britain Public Schools,New Britain,CT,School district,Q7005722,https://www.csdnb.org/,41.668004,-72.782107,9717
orangeusd.org,Orange Unified School District,Orange,CA,School district,Q7099759,https://www.orangeusd.org/,33.81129,-117.826647,24764
princetonk12.org,Princeton Public Schools,Princeton,NJ,School district,Q7244998,https://www.princetonk12.org/,40.36105,-74.663648,3817
smcsd.org,Sausalito Marin City School District,Marin City,CA,School district,Q7427604,https://www.smcsd.org/,37.87262,-122.513791,318
palmbeachschools.org,School District of Palm Beach County,West Palm Beach,FL,School district,Q7432244,http://www.PalmBeachSchools.org,26.64925,-80.093741,188843
sbschools.org,South Brunswick Public Schools,North Brunswick,NJ,School district,Q7566446,https://www.sbschools.org/,40.42031,-74.512841,7950
smcps.org,St. Mary's County Public Schools,Leonardtown,MD,School district,Q7590260,https://www.smcps.org/,38.304265,-76.640356,17493
wheelercountyschools.org,Wheeler County School District,Alamo,GA,School district,Q7992206,http://www.wheelercountyschools.org/,32.149194,-82.782735,873
iusd.org,Irvine Unified School District,Irvine,CA,School district,Q8560658,https://iusd.org/,33.67565,-117.792341,36542
dcssga.org,Douglas County School District,Douglasville,GA,School district,Q5301376,https://www.dcssga.org/,33.779466,-84.704995,25802
dpsnc.net,Durham Public Schools,Durham,NC,School district,Q5316544,https://www.dpsnc.net/,35.997229,-78.897664,31531
epd86.org,East Peoria School District 86,East Peoria,IL,School district,Q5329135,http://epd86.org/,40.664716,-89.571502,1449
everettsd.org,Everett Public Schools,Everett,WA,School district,Q5417059,https://www.everettsd.org/,47.965115,-122.201836,20359
fcps.org,Frederick County Public Schools,Frederick,MD,School district,Q5497582,https://www.fcps.org/,39.410445,-77.406353,46899
garycsc.k12.in.us,Gary Community School Corporation,Gary,IN,School district,Q5524879,https://www.garycsc.k12.in.us/,41.593932,-87.408242,4076
lbschools.net,Long Beach Unified School District,Long Beach,CA,School district,Q5555283,https://www.lbschools.net/,33.82892,-118.213761,65554
gcsnc.com,Guilford County Schools,Greensboro,NC,School district,Q5615918,https://www.gcsnc.com/,36.08087,-79.793191,68894
hcps.org,Harford County Public Schools,Bel Air,MD,School district,Q5656980,https://www.hcps.org/,39.536187,-76.347192,38037
tigerwires.com,Hollidaysburg Area School District,Hollidaysburg,PA,School district,Q5881352,https://www.tigerwires.com/,40.43101,-78.389361,3134
hcsdnv.com,Humboldt County School District,Winnemucca,NV,School district,Q5940310,https://www.hcsdnv.com/,40.975071,-117.73043,3329
huntsvillecityschools.org,Huntsville City Schools,Huntsville,AL,School district,Q5945856,https://www.huntsvillecityschools.org/,34.712323,-86.586335,23776
jpsk12.org,Jackson Public Schools,Jackson,MI,School district,Q6117339,https://www.jpsk12.org/,42.2485,-84.417,4486
jc-tn.net,Jefferson County Public Schools,Dandridge,TN,School district,Q6175440,https://www.jc-tn.net/,36.015696,-83.415743,6995
jcswv.org,Jefferson County Public Schools,Charles Town,WV,School district,Q6175441,https://www.jcswv.org/,39.28397,-77.861631,8389
longviewschools.com,Longview Public Schools,Longview,WA,School district,Q60790481,https://www.longviewschools.com/,46.141623,-122.955595,6311
bangorschools.org,Bangor Township Schools,Bay City,MI,School district,Q60791471,https://www.bangorschools.org/,43.603235,-83.919646,2646
dps61.org,Decatur Public Schools District 61,Decatur,IL,School district,Q63858644,https://www.dps61.org/,39.846702,-88.956459,7974
ncpsk12.com,Northampton County Public Schools,Machipongo,VA,School district,Q63869932,https://www.ncpsk12.com/,37.403791,-75.910427,1359
mancelonaschools.org,Mancelona Public Schools,Mancelona,MI,School district,Q65051283,https://www.mancelonaschools.org/,44.899968,-85.070659,863
calhounflschools.org,Calhoun County School District,Blountstown,FL,School district,Q65059337,http://www.calhounflschools.org,30.442758,-85.042004,2129
crookcounty.k12.or.us,Crook County School District,Prineville,OR,School district,Q66986655,http://crookcounty.k12.or.us/,44.30467,-120.830711,3272
alpinecoe.k12.ca.us,Alpine County Unified School District,Markleeville,CA,School district,Q85741024,http://alpinecoe.k12.ca.us,38.76636,-119.808836,68
dnusd.org,Del Norte Unified School District,Crescent City,CA,School district,Q85756253,https://www.dnusd.org,41.772026,-124.206215,3501
dbsd.org,Denali Borough School District,Healy,AK,School district,Q85756349,https://www.dbsd.org/,63.872903,-149.015539,912
lysd.org,Lower Yukon School District,Mountain Village,AK,School district,Q85782528,https://lysd.org/,62.092018,-163.724886,2035
ralstonschools.org,Ralston Public Schools,Ralston,NE,School district,Q85795782,https://www.ralstonschools.org,41.201067,-96.045793,3352
woodridge68.org,Woodridge School District 68,Woodridge,IL,School district,Q85816135,https://www.woodridge68.org/,41.741111,-88.039625,2708
clkschools.org,"Public Schools of Calumet, Laurium & Keweenaw",Calumet,MI,School district,Q91888539,https://www.clkschools.org/,47.244776,-88.447391,1359
erschools.com,Elk Rapids Public Schools,Elk Rapids,MI,School district,Q92319404,https://www.erschools.com/,44.892261,-85.395402,1231
roslynschools.org,Roslyn Union Free School District,Roslyn,NY,School district,Q93877703,https://www.roslynschools.org/,40.792879,-73.640992,3301
apsva.us,Arlington Public Schools,Arlington,VA,School district,Q4792391,https://www.apsva.us/,38.872682,-77.083473,27562
atkinspublic.schoolinsites.com,Atkins School District,Atkins,AR,School district,Q4815896,http://atkinspublic.schoolinsites.com/,35.244891,-92.938086,989
baltimorecityschools.org,Baltimore City Public Schools,Baltimore,MD,School district,Q4852821,https://www.baltimorecityschools.org/,39.312016,-76.613209,75995
bethelsd.org,Bethel School District,Spanaway,WA,School district,Q4897931,https://www.bethelsd.org/,47.096826,-122.425454,21156
bousd.us,Brea Olinda Unified School District,Brea,CA,School district,Q4959089,https://www.bousd.us/,33.917093,-117.888904,5811
cabarrus.k12.nc.us,Cabarrus County Schools,Concord,NC,School district,Q5015260,https://www.cabarrus.k12.nc.us/,35.38879,-80.506461,34810
southlakecarroll.edu,Carroll Independent School District,Southlake,TX,School district,Q5046583,http://www.southlakecarroll.edu/,32.97201,-97.135858,8471
ccps.org,Cecil County Public Schools,Elkton,MD,School district,Q5056025,https://www.ccps.org/,39.612773,-75.827555,15047
isd12.org,Centennial School District,Circle Pines,MN,School district,Q5059209,https://www.isd12.org/,45.154053,-93.15059,6764
chino.k12.ca.us,Chino Valley Unified School District,Chino,CA,School district,Q5101225,https://www.chino.k12.ca.us/,34.019441,-117.691621,25645
chugachschooldistrict.com,Chugach School District,Anchorage,AK,School district,Q5115949,https://www.chugachschooldistrict.com/,61.1364,-149.848232,637
cloverpark.k12.wa.us,Clover Park School District,Lakewood,WA,School district,Q5135906,https://www.cloverpark.k12.wa.us/,47.159128,-122.519527,12566
compton.k12.ca.us,Compton Unified School District,Compton,CA,School district,Q5157176,https://www.compton.k12.ca.us/,33.891567,-118.216745,17437
concordschools.net,Concord Community Schools,Concord,MI,School district,Q5158785,https://www.concordschools.net/,42.171844,-84.638673,629
coppellisd.com,Coppell Independent School District,Coppell,TX,School district,Q5168672,https://www.coppellisd.com/,32.965756,-96.99305,13361
cfisd.net,Cypress-Fairbanks Independent School District,Houston,TX,School district,Q5200304,https://www.cfisd.net/,29.922756,-95.583673,118010
dearbornschools.org,Dearborn Public Schools,Dearborn,MI,School district,Q5246973,https://www.dearbornschools.org,42.28302,-83.225891,20128
dvisd.net,Del Valle Independent School District,Del Valle,TX,School district,Q5253016,https://www.dvisd.net/,30.176004,-97.613364,11118
dentonisd.org,Denton Independent School District,Denton,TX,School district,Q5259616,https://www.dentonisd.org/,33.225457,-97.133187,32521
donnaisd.net,Donna Independent School District,Donna,TX,School district,Q5296372,https://www.donnaisd.net/,26.173623,-98.053239,13165
covington.kyschools.us,Covington Independent Public Schools,Covington,KY,School district,Q61989286,http://www.covington.kyschools.us/,39.083376,-84.509071,3665
ricelake.k12.wi.us,Rice Lake Area School District,Rice Lake,WI,School district,Q63042715,https://www.ricelake.k12.wi.us/,45.500214,-91.744574,2186
gorhamschools.org,Gorham School District,Gorham,ME,School district,Q65047695,http://www.gorhamschools.org/,43.676534,-70.443042,2737
hardin.kyschools.us,Hardin County Schools,Elizabethtown,KY,School district,Q85765736,https://hardin.kyschools.us,37.756774,-85.899111,14675
elkhornweb.org,Elkhorn Public Schools,Elkhorn,WI,School district,Q86998488,https://www.elkhornweb.org/,42.671961,-88.538939,3582
janesville.k12.wi.us,School District of Janesville,Janesville,WI,School district,Q91890327,https://www.janesville.k12.wi.us/,42.6748,-89.0186,9537
asd16.org,Arlington School District,Arlington,WA,School district,Q4792396,https://www.asd16.org/,48.195752,-122.122026,5506
armorel.k12.ar.us,Armorel School District,Armorel,AR,School district,Q4793722,http://armorel.k12.ar.us/,35.91665,-89.80028,416
bcps.org,Baltimore County Public Schools,Baltimore,MD,School district,Q4852849,https://bcps.org/,39.312016,-76.613209,75995
bps-ok.org,Bartlesville Public Schools,Bartlesville,OK,School district,Q4865367,https://www.bps-ok.org/,36.742092,-95.981576,6182
bsd405.org,Bellevue School District,Bellevue,WA,School district,Q4883960,https://bsd405.org/,47.61058,-122.178741,19089
bridgeportedu.net,Bridgeport Public Schools,Bridgeport,CT,School district,Q4966607,https://www.bridgeportedu.net/,41.180478,-73.192979,19337
bronxville.k12.ny.us,Bronxville Union Free School District,Bronxville,NY,School district,Q4974215,http://www.bronxville.k12.ny.us/,40.9376,-73.8308,1555
bsdvt.org,Burlington School District,Burlington,VT,School district,Q4999280,http://www.bsdvt.org,44.482366,-73.194783,3500
camas.wednet.edu,Camas School District,Camas,WA,School district,Q5024999,https://www.camas.wednet.edu/,45.595602,-122.401987,7324
carolineschools.org,Caroline County Public Schools,Denton,MD,School district,Q5045024,https://www.carolineschools.org/,38.884975,-75.832572,5667
catawbaschools.net,Catawba County Schools,Newton,NC,School district,Q5051594,https://www.catawbaschools.net/,35.68646,-81.218081,15678
ckschools.org,Central Kitsap School District,Silverdale,WA,School district,Q5061320,https://www.ckschools.org/,47.646463,-122.697538,11206
cherokee.k12.ga.us,Cherokee County School District,Canton,GA,School district,Q5092140,https://www.cherokee.k12.ga.us/,34.270342,-84.47183,41891
cherokeek12.org,Cherokee County Schools,Centre,AL,School district,Q5092141,https://www.cherokeek12.org/,34.151676,-85.678793,3886
moodle.oakland.k12.mi.us,Clarenceville School District,Livonia,MI,School district,Q5126844,http://moodle.oakland.k12.mi.us/clarenceville/course/view.php?id=40,42.43712,-83.33625,1773
c-vusd.org,Covina-Valley Unified School District,Covina,CA,School district,Q5179333,https://www.c-vusd.org/,34.086572,-117.880895,11130
dothan.k12.al.us,Dothan City Schools,Dothan,AL,School district,Q5299432,https://www.dothan.k12.al.us/,31.205412,-85.434158,8254
benzieschools.net,Benzie Central Schools,Benzonia,MI,School district,Q96749241,https://benzieschools.net,44.618598,-86.053358,1236
rrps.org,Rock Ridge Public Schools,Virginia,MN,School district,Q104854388,https://rrps.org/,47.480603,-92.520291,2406
portnet.org,Port Washington Union Free School District,Port Washington,NY,School district,Q104869279,https://www.portnet.org/,40.829669,-73.681015,5294
lowellschools.com,Lowell Area Schools,Lowell,MI,School district,Q105647007,https://www.lowellschools.com/,42.93623,-85.336701,3498
pjschools.org,Port Jervis City School District,Port Jervis,NY,School district,Q106609224,https://www.pjschools.org/,41.376746,-74.691182,2444
delmar.k12.de.us,Delmar School District,Delmar,DE,School district,Q107334705,https://delmar.k12.de.us/,38.458803,-75.566858,1427
pickford.eupschools.org,Pickford Public Schools,Pickford,MI,School district,Q108257434,https://pickford.eupschools.org/,46.154645,-84.36019,463
cedarvilletrojans.org,Les Cheneaux Community Schools,Cedarville,MI,School district,Q108257688,https://www.cedarvilletrojans.org/,45.998696,-84.357112,227
oxfordschools.org,Oxford Community Schools,Oxford,MI,School district,Q109916238,https://www.oxfordschools.org/,42.82519,-83.264881,5649
goshenschools.org,Goshen Community Schools,Goshen,IN,School district,Q111699656,https://www.goshenschools.org/,41.58007,-85.825533,6286
franklincountyschools.org,Franklin County School District,Eastpoint,FL,School district,Q111915623,https://www.franklincountyschools.org/,29.743579,-84.876166,1208
lawrence.k12.ma.us,Lawrence Public Schools,Lawrence,MA,School district,Q112227720,https://www.lawrence.k12.ma.us/,42.708013,-71.159939,12885
hcsd3.org,Harney County School District 3,Burns,OR,School district,Q113349209,https://www.hcsd3.org/,43.584108,-119.064397,742
queenbee16.org,Queen Bee School District 16,Glendale Heights,IL,School district,Q114008996,https://www.queenbee16.org/,41.916263,-88.083596,1685
pickerington.k12.oh.us,Pickerington Local School District,Pickerington,OH,School district,Q116169913,https://www.pickerington.k12.oh.us/,39.885778,-82.75056,11370
petoskeyschools.org,Public Schools of Petoskey,Petoskey,MI,School district,Q116946770,https://www.petoskeyschools.org/,45.36583,-84.956181,2526
mackcity.k12.mi.us,Mackinaw City Public Schools,Mackinaw City,MI,School district,Q117148594,https://mackcity.k12.mi.us/,45.780826,-84.744355,143
hudsonraiders.org,Hudson School District,Hudson,WI,School district,Q117229652,https://hudsonraiders.org/,44.968921,-92.672554,5377
tfsd.org,Twin Falls School District,Twin Falls,ID,School district,Q122451855,https://www.tfsd.org/,42.55674,-114.471851,9352
sau26.org,Merrimack School District,Merrimack,NH,School district,Q123560559,https://www.sau26.org/,42.86185,-71.497961,3570
sdmaonline.com,Menomonie Area School District,Menomonie,WI,School district,Q123681048,https://www.sdmaonline.com,44.901248,-91.929776,3290
msd.k12.wi.us,Menomonie Area School District,Menomonie,WI,School district,Q123681048,https://www.msd.k12.wi.us/,44.901248,-91.929776,3290
redhookcentralschools.org,Red Hook Central School District,Red Hook,NY,School district,Q124060802,https://www.redhookcentralschools.org/,42.0182,-73.8705,1605
hask12.org,Holly Area Schools,Holly,MI,School district,Q125559061,https://www.hask12.org/district/,42.789542,-83.612395,3101
plainwellschools.org,Plainwell Community Schools,Plainwell,MI,School district,Q125559275,https://www.plainwellschools.org/,42.437766,-85.650662,2623
otsegops.org,Otsego Public Schools,Otsego,MI,School district,Q125559415,https://www.otsegops.org/,42.456116,-85.707985,2363
gnsd.k12.wa.us,Great Northern School District,Spokane,WA,School district,Q96379883,https://www.gnsd.k12.wa.us,47.686689,-117.518583,38
winthropschools.org,Winthrop Public Schools,Winthrop,ME,School district,Q96415350,https://www.winthropschools.org/,44.3057,-69.968246,831
henrycountyboe.org,Henry County School District,Abbeville,AL,School district,Q98666979,https://www.henrycountyboe.org/,31.566851,-85.252131,2530
aps1.net,Andover Public Schools,Andover,MA,School district,Q104845404,http://aps1.net/421/School-Committee,42.654937,-71.135714,5590
eufsdk12.org,Eastchester Union Free School District,Eastchester,NY,School district,Q104864373,https://www.eufsdk12.org/,40.962397,-73.810301,3013
sccoe.org,Santa Clara County Office of Education,San Jose,CA,School district,Q104999100,https://www.sccoe.org/,37.383643,-121.900494,1394
aisdk12.org,Annette Island School District,Metlakatla,AK,School district,Q106091024,https://www.aisdk12.org/,55.126236,-131.577064,311
daretolearn.org,Dare County Schools,Nags Head,NC,School district,Q106476948,https://www.daretolearn.org/,35.976752,-75.638404,5181
darecountyschoolsonline.com,Dare County Schools,Nags Head,NC,School district,Q106476948,http://www.darecountyschoolsonline.com,35.976752,-75.638404,5181
dare.k12.nc.us,Dare County Schools,Nags Head,NC,School district,Q106476948,http://www.dare.k12.nc.us/,35.976752,-75.638404,5181
winchesterschools.org,Winchester Public Schools,Winsted,CT,School district,Q107087713,https://www.winchesterschools.org/,41.921539,-73.068999,606
oasd.org,Oconomowoc Area School District,Oconomowoc,WI,School district,Q108532342,https://www.oasd.org/,43.09781,-88.483615,5015
jcschools.com,Johnson City Central School District,Johnson City,NY,School district,Q108822678,https://www.jcschools.com/,42.1345,-75.9686,2303
hillsboro.k12.oh.us,Hillsboro City Schools,Hillsboro,OH,School district,Q109326494,https://www.hillsboro.k12.oh.us/,39.204117,-83.620162,2215
choctawal.org,Choctaw County Schools,Butler,AL,School district,Q113645803,https://www.choctawal.org/,32.084838,-88.2326,1097
dayton.k12.ky.us,Dayton Independent School District,Dayton,KY,School district,Q115210821,https://www.dayton.k12.ky.us/,39.116505,-84.469926,859
newkentschools.org,New Kent County Public Schools,New Kent,VA,School district,Q117195673,https://www.newkentschools.org/,37.517201,-76.97817,3435
hohschools.org,Hastings-on-Hudson Union Free School District,Hastings On Hudson,NY,School district,Q117471887,https://www.hohschools.org/,40.993346,-73.875542,1622
ryeschools.org,Rye City School District,Rye,NY,School district,Q117472184,https://www.ryeschools.org,40.970785,-73.703089,2868
greenburgh-graham.org,Greenburgh-Graham Union Free School District,Hastings On Hudson,NY,School district,Q117473400,https://www.greenburgh-graham.org/,40.97964,-73.881567,
bkwschools.org,Berne-Knox-Westerlo Central School District,Berne,NY,School district,Q117479608,https://www.bkwschools.org/,42.6257,-74.1442,716
bellevue.kyschools.us,Bellevue Independent Schools,Bellevue,KY,School district,Q117826708,https://www.bellevue.kyschools.us/,39.102374,-84.481671,639
daytonsd.org,Dayton School District,Dayton,WA,School district,Q119393497,https://www.daytonsd.org/,46.316706,-117.975102,393
letcher.kyschools.us,Letcher County Public Schools,Whitesburg,KY,School district,Q123056021,https://www.letcher.kyschools.us/,37.121167,-82.838102,2596
lucernevalleyusd.org,Lucerne Valley Unified School District,Lucerne Valley,CA,School district,Q123301526,https://www.lucernevalleyusd.org/,34.41026,-116.907602,1029
kanek12.org,Kane County School District,Kanab,UT,School district,Q124387326,https://kanek12.org,37.035897,-112.525424,1519
ocs.manistee.org,Onekama Consolidated Schools,Onekama,MI,School district,Q125584794,https://www.ocs.manistee.org/,44.3647,-86.201811,304
marleeschool.com,Mar Lee School District,Marshall,MI,School district,Q125587265,https://www.marleeschool.com/,42.304429,-84.883649,305
mendonschools.org,Mendon Community School District,Mendon,MI,School district,Q125587811,https://mendonschools.org/,42.012521,-85.443132,455
readingrangers.org,Reading Community Schools,Reading,MI,School district,Q125588066,https://www.readingrangers.org/,41.837696,-84.74545,696
shps.org,South Haven Public Schools,South Haven,MI,School district,Q125588959,https://www.shps.org/,42.39678,-86.272071,1798
inlandlakes.org,Inland Lakes School District,Indian River,MI,School district,Q125589100,https://www.inlandlakes.org,45.397506,-84.62395,621
bearlake.manistee.org,Bear Lake Schools,Bear Lake,MI,School district,Q125599480,https://bearlake.manistee.org/,44.419796,-86.146423,290
taschools.org,Tahquamenon Area Schools,Newberry,MI,School district,Q125599563,https://www.taschools.org/,46.350581,-85.510718,503
vicksburgschools.org,Vicksburg Community Schools,Vicksburg,MI,School district,Q125599615,https://www.vicksburgschools.org/,42.117063,-85.530385,2588
cassopolis.k12.mi.us,Cassopolis Public Schools,Cassopolis,MI,School district,Q125600693,https://www.cassopolis.k12.mi.us/,41.895952,-86.003158,866
homeofthefalcons.org,Constantine Public Schools,Constantine,MI,School district,Q125601143,https://www.homeofthefalcons.org/,41.835594,-85.667585,1310
portlandk12.org,Portland Public Schools,Portland,MI,School district,Q125604621,https://www.portlandk12.org/,42.881121,-84.918723,2036
ppsvikings.org,Potterville Public Schools,Potterville,MI,School district,Q125604695,https://www.ppsvikings.org/,42.630581,-84.736374,753
powellschool.com,Powell Township Schools,Big Bay,MI,School district,Q125604718,https://www.powellschool.com/,46.817644,-87.729157,42
mattawanschools.org,Mattawan Consolidated School District,Mattawan,MI,School district,Q125604812,https://www.mattawanschools.org/,42.213274,-85.791002,3610
bangorvikings.org,Bangor Public Schools,Bay City,MI,School district,Q125605661,https://www.bangorvikings.org/,43.603235,-83.919646,2646
beaverisland.k12.mi.us,Beaver Island Community School,Beaver Island,MI,School district,Q125605887,https://www.beaverisland.k12.mi.us/,45.74534,-85.522771,51
gkb.k12.in.us,Garrett-Keyser-Butler Com Sch Corp,Garrett,IN,School district,Q125614496,https://www.gkb.k12.in.us/,41.344837,-85.126728,1675
ypsd.us,Yale Public Schools,Yale,MI,School district,Q125623319,https://www.ypsd.us/,43.126351,-82.803337,1758
browncountyschools.com,Brown County School Corporation,Nashville,IN,School district,Q125623379,http://www.browncountyschools.com/,39.205506,-86.242746,1653
hck12.net,Hawkins County School District,Rogersville,TN,School district,Q126900576,https://www.hck12.net/,36.408922,-83.007236,6304
rcschool.net,Rogersville City Schools,Rogersville,TN,School district,Q126900580,http://www.rcschool.net/,36.402857,-83.005576,624
euhsd.org,Escondido Union High School District,Escondido,CA,School district,Q131531857,https://www.euhsd.org,33.136306,-117.050179,6881
nsd131.org,Nampa School District,Nampa,ID,School district,Q133847349,https://www.nsd131.org/,43.562748,-116.578616,13398
somerville.k12.ma.us,Somerville Public Schools,Somerville,MA,School district,Q134520295,https://somerville.k12.ma.us/,42.387619,-71.087266,4884
