domain,org,city,state,type,qid,website,lat,lon,enrollment
detroitk12.org,Detroit Public Schools,Detroit,MI,School district,Q2497108,https://www.detroitk12.org/,42.380308,-83.247501,568
reverek12.org,Revere Public Schools,Revere,MA,School district,Q2839547,https://www.reverek12.org/,42.412004,-71.0089,7444
irvingisd.net,Irving Independent School District,Irving,TX,School district,Q2841538,https://www.irvingisd.net/,32.838178,-96.982468,31767
sweetwaterschools.org,Sweetwater Union High School District,Chula Vista,CA,School district,Q2917283,http://www.sweetwaterschools.org/,32.61018,-117.077172,36109
huntsville-isd.org,Huntsville Independent School District,Huntsville,TX,School district,Q2917679,http://www.huntsville-isd.org,30.741623,-95.540242,11313
ausd.net,Arcadia Unified School District,Arcadia,CA,School district,Q3916632,https://www.ausd.net/,34.138381,-118.023282,8818
ccsd.net,Clark County School District,Las Vegas,NV,School district,Q4261591,https://www.ccsd.net/,36.145349,-115.211177,314346
abileneisd.org,Abilene Independent School District,Abilene,TX,School district,Q4667766,https://www.abileneisd.org/,32.451,-99.732233,15253
abington.k12.pa.us,Abington School District,Abington,PA,School district,Q4667871,http://www.abington.k12.pa.us/,40.113076,-75.129159,8543
adams12.org,Adams 12 Five Star Schools,Thornton,CO,School district,Q4680292,https://www.adams12.org/,39.926677,-104.966609,35747
ovsd.us,Adams County Ohio Valley School District,West Union,OH,School district,Q4680316,https://www.ovsd.us/,38.811395,-83.584054,3546
adisd.net,Agua Dulce Independent School District,Agua Dulce,TX,School district,Q4694436,https://www.adisd.net,27.784884,-97.912488,408
dys.alabama.gov,Alabama Department of Youth Services School District,Mt Meigs,AL,School district,Q4705251,https://dys.alabama.gov/dys-school-district,32.376397,-86.084642,
lc-ps.org,L'Anse Creuse Public Schools,Clinton Township,MI,School district,Q6455571,https://www.lc-ps.org/,42.620846,-82.864154,9414
lajoyaisd.com,La Joya Independent School District,La Joya,TX,School district,Q6463270,https://www.lajoyaisd.com/,26.249055,-98.48145,24804
mylpsd.com,Lafourche Parish Public Schools,Thibodaux,LA,School district,Q6471760,https://www.mylpsd.com/,29.792541,-90.81316,14208
lancasterisd.org,Lancaster Independent School District,Lancaster,TX,School district,Q6483205,https://www.lancasterisd.org/,32.588495,-96.755452,7032
lvusd.org,Las Virgenes Unified School District,Calabasas,CA,School district,Q6492699,https://www.lvusd.org/,34.134914,-118.703358,9732
lisd.net,Lewisville Independent School District,Lewisville,TX,School district,Q6537450,https://www.lisd.net/,33.044284,-97.035084,49060
lincoln.k12.mi.us,Lincoln Consolidated School District,Ypsilanti,MI,School district,Q6550567,http://www.lincoln.k12.mi.us/,42.158691,-83.61127,3566
lincoln.k12.or.us,Lincoln County School District,Newport,OR,School district,Q6550630,https://lincoln.k12.or.us/,44.645636,-124.045312,5122
lps.org,Lincoln Public Schools,Lincoln,NE,School district,Q6550972,https://www.lps.org/,40.812957,-96.640734,41850
lindaleeagles.org,Lindale Independent School District,Lindale,TX,School district,Q6552111,http://www.lindaleeagles.org/,32.510139,-95.403681,4469
lubbockisd.org,Lubbock Independent School District,Lubbock,TX,School district,Q6695124,https://www.lubbockisd.org/,33.578218,-101.854441,25247
luciamarschools.org,Lucia Mar Unified School District,Arroyo Grande,CA,School district,Q6696653,https://www.luciamarschools.org/,35.115327,-120.576286,9591
mackinac.eupschools.org,Mackinac Island Public Schools,Mackinac Island,MI,School district,Q6724505,https://mackinac.eupschools.org/,45.847899,-84.623987,58
marshall.k12.mi.us,Marshall Public Schools,Marshall,MI,School district,Q6773746,http://marshall.k12.mi.us,42.270477,-84.958039,2641
educatemc.net,Michigan City Area Schools,Michigan City,IN,School district,Q6837486,https://www.educatemc.net,41.705943,-86.868424,5193
keysschools.com,Monroe County School District,Key West,FL,School district,Q6902174,https://www.keysschools.com/,24.563551,-81.797403,8929
nederlandisd.org,Nederland Independent School District,Nederland,TX,School district,Q6986216,https://www.nederlandisd.org/,29.972087,-93.994116,5029
northridge.k12.oh.us,Northridge Local School District,Johnstown,OH,School district,Q7059654,https://www.northridge.k12.oh.us/,40.189211,-82.606409,1171
oceangateschool.net,Ocean Gate School District,Ocean Gate,NJ,School district,Q7075999,http://www.oceangateschool.net/,39.92393,-74.1435,127
ovsd.org,Ocean View School District,Huntington Beach,CA,School district,Q7076113,https://www.ovsd.org/,33.712026,-118.020946,6809
oconeeschools.org,Oconee County School District,Watkinsville,GA,School district,Q7076612,https://www.oconeeschools.org/,33.86439,-83.405781,8531
oxfordasd.org,Oxford Area School District,Oxford,PA,School district,Q7115238,https://www.oxfordasd.org/,39.81743,-75.968121,3250
pcsb.org,Pinellas County Schools,Largo,FL,School district,Q7195530,https://www.pcsb.org/,27.914041,-82.793562,93702
prosper-isd.net,Prosper Independent School District,Prosper,TX,School district,Q7250876,https://www.prosper-isd.net/,33.238801,-96.794609,24983
redclayschools.com,Red Clay Consolidated School District,Wilmington,DE,School district,Q7303895,http://www.redclayschools.com/,39.744302,-75.599601,14771
