domain,type,org,city,state
hancockcountyga.gov,County,Hancock County Board of Commissioners,Sparta,GA
stmarysga.gov,City,City of St. Marys,St. Marys,GA
statesboroga.gov,City,City of Statesboro,Statesboro,GA
sugarhillga.gov,City,City of Sugar Hill,Sugar Hill,GA
chattoogacounty.gov,County,Chattooga County Government,Summerville,GA
summervillega.gov,City,City of Summerville,Summerville,GA
emanuelco-ga.gov,County,Emanuel County Board of Commissioners,Swainsboro,GA
screvencosheriffga.gov,County,Screven County Sheriff's Office,Sylvania,GA
screvencountyga.gov,County,Screven County Board of Commissioners,Sylvania,GA
tallapoosaga.gov,City,City Of Tallapoosa,Tallapoosa,GA
tallulahfallsga.gov,City,Town of Tallulah Falls,Tallulah Falls,GA
tennille-ga.gov,City,City Of Tennille,Tennille,GA
thomascountyga.gov,County,Thomas County Board of Commissioners,Thomasville,GA
thomson-mcduffie.gov,County,Mcduffie County Board of Commisioners,Thomson,GA
tiftcounty.gov,County,Tift County,Tifton,GA
tiftonga.gov,City,City of Tifton,Tifton,GA
stephenscountyga.gov,County,Stephens County Board of Commissioners,Toccoa,GA
dadecounty-ga.gov,County,Dade County Georgia,Trenton,GA
trentonga.gov,City,City of Trenton,trenton,GA
tuckerga.gov,City,"City of Tucker, GA",Tucker,GA
cityoftybee.gov,City,City of Tybee Island,Tybee Island,GA
tyronega.gov,City,Town of Tyrone,Tyrone,GA
unioncityga.gov,City,City of Union City,Union City,GA
dasherga.gov,City,"City of Dasher, Georgia",Valdosta,GA
lowndescountyga.gov,County,Lowndes County Board of Commissioners,Valdosta,GA
vidaliaga.gov,City,City of Vidalia,Vidalia,GA
villarica.gov,City,Villa Rica,VILLA RICA,GA
warecountyga.gov,County,Ware County Government,Wacross,GA
wadleyga.gov,City,City of Wadley,Wadley,GA
warmspringsga.gov,City,City of Warm Springs GA,Warm Springs,GA
houstoncountyga.gov,County,Houston County Board Of Commissioners,Warner Robins,GA
warnerrobinsga.gov,City,City of Warner Robins,Warner Robins,GA
wrga.gov,City,City of Warner Robins,Warner Robins,GA
warrencountyga.gov,County,Warren County Board of Commissioners,Warrenton,GA
warrentonga.gov,City,City of Warrenton,Warrenton,GA
cityofwashingtonga.gov,City,City of Washington,Washington,GA
washingtonga.gov,City,City of Washington,Washington,GA
wga.gov,City,City of Washington,Washington,GA
oconeecountyga.gov,County,Oconee County Board of Commissioners,Watkinsville,GA
waverlyhallga.gov,City,Town of Waverly Hall,Waverly Hall,GA
waycrossga.gov,City,City of Waycross,Waycross,GA
burkecounty-ga.gov,County,Burke County Georgia,Waynesboro,GA
camdencountyga.gov,County,Camden County Board of Commissioners,Woodbine,GA
cityofwoodburyga.gov,City,City of Woodbury,Woodbury,GA
woodstockga.gov,City,City of Woodstock,Woodstock,GA
pikecoga.gov,County,"Pike County, GA",Zebulon,GA
pikecountygasheriff.gov,County,"Pike County, GA Sheriff's Office",Zebulon,GA
hawaiicounty.gov,County,County of Hawaii,Hilo,HI
hawaiipolice.gov,County,Hawaii County Police Department,Hilo,HI
hawaiiprosecutors.gov,County,Office of the Prosecuting Attorney,Hilo,HI
hnlalert.gov,County,City and County of Honolulu Department of Emergency Management,Honolulu,HI
honolulu.gov,City,City and County of Honolulu,Honolulu,HI
keepcooloahu.gov,City,"City and County of Honolulu Office of Climate Change, Sustainability and Resiliency",Honolulu,HI
resilientoahu.gov,County,"City and County of Honolulu Office of Climate Change, Sustainability and Resiliency",Honolulu,HI
honolulubws.gov,Special district,Honolulu Board of Water Supply,Honoulu,HI
kauai.gov,County,County of Kauai,Lihue,HI
mauicounty-hi.gov,County,County of Maui,Wailuku,HI
mauicounty.gov,County,County of Maui,Wailuku,HI
adairia.gov,City,City of Adair,Adair,IA
adeliowa.gov,City,City of Adel,Adel,IA
dallascountyiowa.gov,County,Dallas County Iowa,Adel,IA
ainsworthiowa.gov,City,City of Ainsworth,Ainsworth,IA
algonaiowa.gov,City,City of Algona,Algona,IA
cityofallisonia.gov,City,"City of Allison, IA",Allison,IA
jonescountyiowa.gov,County,Jones County Iowa,Anamosa,IA
ankenyiowa.gov,City,City of Ankeny,Ankeny,IA
polkswcdiowa.gov,Special district,Polk Soil and Water Conservation District,Ankeny,IA
aplingtonpolice.gov,City,Aplington Police Department,APLINGTON,IA
casscountyia.gov,County,Cass County Iowa,Atlantic,IA
auduboncountyia.gov,County,Audubon County Courthouse,Audubon,IA
avocaiowa.gov,City,"City of Avoca, Iowa",Avoca,IA
belleplaineiowa.gov,City,City of Belle Plaine,Belle Plaine,IA
bellevueia.gov,City,"City of Bellevue, Iowa",Bellevue,IA
belmondpdia.gov,City,Belmond Police Department,Belmond,IA
bettendorf.gov,City,"City of Bettendorf, IA",Bettendorf,IA
daviscountyiowa.gov,County,Davis County Iowa,Bloomfied,IA
boonecsdia.gov,Special district,Boone Community School District,Boone,IA
booneiowa.gov,City,City of Boone,Boone,IA
cambridgeia.gov,City,City of Cambridge,Cambridge,IA
carrollcountyiowa.gov,County,Carroll County Iowa,Carroll,IA
carterlake-ia.gov,City,City of Carter Lake,Carter Lake,IA
linncounty-ia.gov,County,"Linn County, IA",Cedar Rapids,IA
linncountyiowa.gov,County,"Linn County, IA",Cedar Rapids,IA
centralcityia.gov,City,City of Central City,Central City,IA
floydcountyiowa.gov,County,Floyd County Iowa,Charles City,IA
clarioniowa.gov,City,"City of Clarion, Iowa",Clarion,IA
clarksvilleiowa.gov,City,City of Clarksville,Clarksville,IA
cityofclintoniowa.gov,City,City of Clinton Iowa,Clinton,IA
clintoncounty-ia.gov,County,County of Clinton,Clinton,IA
colfaxia.gov,City,City of Colfax,Colfax,IA
columbusjctia.gov,City,City of Columbus Junction Iowa,Columbus Junction,IA
coralville.gov,City,City of Coralville,Coralville,IA
adamscountyiowa.gov,County,Adams County Iowa,Corning,IA
councilbluffs-ia.gov,City,City of Council Bluffs,Council Bluffs,IA
pottawattamie.gov,County,"Pottawattamie County, Iowa",Council Bluffs,IA
pottcounty-ia.gov,County,"Pottawattamie County, Iowa",Council Bluffs,IA
pottcountysheriff.gov,County,Pottawattamie County,Council Bluffs,IA
pottia.gov,County,Pottawattamie County,Council Bluffs,IA
crestoniowa.gov,City,City of Creston Iowa,Creston,IA
unioncountyiowa.gov,County,Union County Iowa Courthouse,Creston,IA
scottcountyiowa.gov,County,Scott County Iowa,Davenport,IA
decorahia.gov,City,City of Decorah,Decorah,IA
ciww.gov,City,Des Moines Water Works,Des Moines,IA
polkcountyiowa.gov,County,Polk County,Des Moines,IA
dubuquecountyiowa.gov,County,Dubuque County,Dubuque,IA
eaglegrove.gov,City,City of Eagle Grove,Eagle Grove,IA
hardincountyia.gov,County,Hardin County,Eldora,IA
claytoncountyia.gov,County,"Clayton County, Iowa",Elkader,IA
paloaltosheriff.gov,County,Palo Alto County Sheriffs,Emmetsburg,IA
emmetcountyia.gov,County,Emmet County,Estherville,IA
fairfieldiowa.gov,City,City of Fairfield,Fairfield,IA
winnebagocountyiowa.gov,County,Winnebago County,Forest City,IA
winnebagosheriffia.gov,County,Winnebago County Sheriff's Department,Forest CIty,IA
fortatkinsonia.gov,City,City of Fort Atkinson,Fort Atkinson,IA
fortdodge.gov,City,"City of Fort Dodge, Iowa",Fort Dodge,IA
webstercountyia.gov,County,Webster County,Fort Dodge,IA
fredoniaiowa.gov,City,City of Fredonia,Fredonia,IA
fruitlandia.gov,City,City of Fruitland Iowa,Fruitland,IA
hancockcountyia.gov,County,Hancock County Iowa,Garner,IA
garwiniowa.gov,City,City of Garwin,Garwin,IA
cityofglenwoodia.gov,City,City of Glenwood,Glenwood,IA
millscountyiowa.gov,County,Mills County Iowa,Glenwood,IA
danaia.gov,City,City of Dana,Grand Junction,IA
grandjunctioniowa.gov,City,City of Grand Junction,Grand Junction,IA
grangeriowa.gov,City,City of Granger,Granger,IA
grimesiowa.gov,City,City of Grimes,Grimes,IA
grinnelliowa.gov,City,City of Grinnell,Grinnell,IA
griswoldia.gov,City,City of Griswold,Griswold,IA
grundycountyiowa.gov,County,Grundy County,Grundy Center,IA
adairguthrieia-ema.gov,Special district,Adair & Guthrie County Emergency Management Agency,Guthrie Center,IA
gcso.gov,County,"Guthrie County, Iowa",Guthrie Center,IA
guthriecounty.gov,County,"Guthrie County, Iowa",Guthrie Center,IA
cityofguttenbergia.gov,City,City of Guttenberg,Guttenberg,IA
franklincountyia.gov,County,Franklin County Iowa,Hampton,IA
hartleyiowa.gov,City,City of Hartley,Hartley,IA
hawkeyeia.gov,City,City of Hawkeye,Hawkeye,IA
holsteinia.gov,City,City of Holstein,Holstein,IA
independenceia.gov,City,City of Independence,Independence,IA
indianolaiowa.gov,City,City of Indianola,Indianola,IA
warrencountyia.gov,County,Warren County,Indianola,IA
johnsoncountyiowa.gov,County,Johnson County,Iowa City,IA
owasaiowa.gov,City,Owasa Iowa,Iowa Falls,IA
cityofjohnston.gov,City,City of Johnston,Johnston,IA
vanburencountyia.gov,County,Van Buren County Iowa,Keosauqua,IA
knoxvilleia.gov,City,City of Knoxville,Knoxville,IA
marioncountyiowa.gov,County,"County of Marion, Iowa",Knoxville,IA
lakemillsiowa.gov,City,City of Lake Mills,Lake Mills,IA
legrand-ia.gov,City,City of Le Grand,Le Grand,IA
leclaireiowa.gov,City,"City of LeClaire, Iowa",LeClaire,IA
plymouthcountyiowa.gov,County,Plymouth County Iowa,LeMars,IA
decaturcountyiowa.gov,County,Decatur County,Leon,IA
cityoflisbon-ia.gov,City,City of Lisbon,Lisbon,IA
lowden.gov,City,City of Lowden,"Lowden, IA",IA
maharishivediccity-iowa.gov,City,Maharishi Vedic City,Maharishi Vedic City,IA
cityofmarionia.gov,City,City of Marion,Marion,IA
mariontwplinncoia.gov,City,Marion Township,Marion,IA
marshallcountyia.gov,County,"Marshall County, Iowa",Marshalltown,IA
marshalltown-ia.gov,City,City of Marshalltown,Marshalltown,IA
cerrogordo.gov,County,Cerro Gordo County,Mason City,IA
cerrogordoauditor.gov,County,Cerro Gordo County,Mason City,IA
masoncityiowa.gov,City,City of Mason City,Mason City,IA
poweshiekcountyiowa.gov,County,Poweshiek County,Montezuma,IA
poweshiekso.gov,County,Poweshiek County Sheriff Office,Montezuma,IA
cityofmtvernon-ia.gov,City,City of Mount Vernon,Mount Vernon,IA
mtvernonlisbonpd-ia.gov,City,Mount Vernon-Lisbon Police Department,Mount Vernon,IA
muscatinecountyiowa.gov,County,Muscatine County Iowa,Muscatine,IA
muscatineiowa.gov,City,City of Muscatine,Muscatine,IA
storycountyiowa.gov,County,County of Story,Nevada,IA
nhcsdia.gov,School district,New Hampton Community School District,New Hampton,IA
northlibertyiowa.gov,City,City of North Liberty,North Liberty,IA
worthcountyiowa.gov,County,Worth County,Northwood,IA
ocheyedaniowa.gov,City,City of Ocheyedan,Ocheyedan,IA
mononacountyiowa.gov,County,Monona County Courthouse,Onawa,IA
siouxcountyia.gov,County,Sioux County,Orange City,IA
orleansiowa.gov,City,City of Orleans,Orleans,IA
mitchellcountyiowa.gov,County,Mitchell County,Osage,IA
mahaskacountyia.gov,County,Mahaska County,Oskaloosa,IA
clearcreektownshipia.gov,City,Clear Creek Township,Oxford,IA
parkersburgiapolice.gov,City,Parkersburg Police Department,Parkersburg,IA
pocahontascountyiowa.gov,County,Pocahontas County IT,Pocahontas,IA
pokysoia.gov,County,Pocahontas County Sheriff Department,Pocahontas,IA
polkcityia.gov,City,City of Polk City,Polk City,IA
montgomerycountyia.gov,County,Montgomery County Iowa,Red Oak,IA
redfieldia.gov,City,City of Redfield,Redfield,IA
riversideiowa.gov,City,"City of Riverside, IA",Riverside,IA
cityofrockwellcity.gov,City,City of Rockwell City,Rockwell City,IA
ruthvenfire.gov,City,Ruthven Fire Department,Ruthven,IA
saccountyiowa.gov,County,Sac County,Sac City,IA
sanborniowa.gov,City,City of Sanborn,Sanborn,IA
sheldoniowa.gov,City,City Of Sheldon,Sheldon,IA
osceolacountyia.gov,County,County of Osceola,Sible,IA
fremontcountyia.gov,County,Fremont County,Sidney,IA
siouxcenteria.gov,City,City of Sioux Center,Sioux Center,IA
woodburycountyiowa.gov,County,Woodbury County Iowa,Sioux City,IA
dickinsoncountyiowa.gov,County,Dickinson County,Spirit Lake,IA
bvcountyattorney.gov,County,Buena Vista County,Storm Lake,IA
stuartia.gov,City,City of Stuart,Stuart,IA
stuartrescueia.gov,City,Stuart Rescue Department,Stuart,IA
tamacityia.gov,City,City of Tama,Tama,IA
tamacountyiowa.gov,County,Tama County Board of Supervisors,Toledo,IA
toledoiowa.gov,City,City of Toledo,Toledo,IA
unionia.gov,City,City of Union,Union,IA
vanmeteria.gov,City,"City of Van Meter, Iowa",Van Meter,IA
bentoncountyia.gov,County,Benton County Iowa,Vinton,IA
vintonia.gov,City,City of Vinton IA,Vinton,IA
louisacountyia.gov,County,Louisa County Iowa,Wapello,IA
wapelloia.gov,City,IT Department,Wapello,IA
washingtoniowa.gov,City,City of Washington,Washington,IA
waukee.gov,City,City of Waukee,Waukee,IA
westburlingtoniowa.gov,City,City of West Burlington,West Burlington,IA
fayettecountysoia.gov,County,Fayette County Sheriffs Office,West Union,IA
williamsburgiowa.gov,City,City of Williamsburg,Williamsburg,IA
wiltoniowa.gov,City,City of Wilton,Wilton,IA
winterset.gov,City,City of Winterset,Winterset,IA
wyomingia.gov,City,"City of Wyoming, Iowa",Wyoming,IA
powercounty.gov,County,Power County,American Falls,ID
ammonidaho.gov,City,City of Ammon,Ammon,ID
arcoidaho.gov,City,City of Arco,Arco,ID
ashtonid.gov,City,City of Ashton ID,Ashton,ID
drummondid.gov,City,"City of Drummond, Idaho",Ashton,ID
bellevueidaho.gov,City,City of Bellevue,Bellevue,ID
binghamcountyid.gov,County,Bingham County,Blackfoot,ID
binghamid.gov,County,Bingham County,Blackfoot,ID
adacountyelections.gov,County,Ada County Information Technology,Boise,ID
boiseidaho.gov,City,City of Boise,Boise,ID
cassia.gov,County,Cassia County,Burley,ID
cassiasheriff.gov,County,Cassia County,Burley,ID
canyoncountyid.gov,County,Canyon County,Caldwell,ID
cascadefireid.gov,Special district,Cascade Rural Fire Protection District,Cascade,ID
valleycountyid.gov,County,Valley County Idaho,Cascade,ID
northbannockfire.gov,Special district,North Bannock Fire District,Chubbuck,ID
clarkforkidaho.gov,City,City of Clark Fork,Clark Fork,ID
cdaid.gov,City,City of Coeur d'Alene,Coeur d'Alene,ID
cityofdeclo.gov,City,City of Declo,Declo,ID
tetoncountyidaho.gov,County,Teton County Idaho,Driggs,ID
duboisidaho.gov,City,"City of Dubois, Idaho",Dubois,ID
eaglefireid.gov,Special district,Eagle Fire Protection District,Eagle,ID
cityoffairfieldidaho.gov,City,City of Fairfield,Fairfield,ID
firthidaho.gov,City,"City of Firth, Idaho",Firth,ID
goodingcountyid.gov,County,Gooding County,Gooding,ID
blainecountyid.gov,County,Blaine County Government,Hailey,ID
blainesheriffid.gov,County,Blaine County Sheriff,Hailey,ID
haydenid.gov,City,City of Hayden,Hayden,ID
cityofhaydenlake.gov,City,CITY OF HAYDEN LAKE,HAYDEN LAKE,ID
haydenlakesewerdistrict.gov,Special district,HAYDEN LAKE SEWER DISTRICT,HAYDEN LAKE,ID
bonnevillecountyid.gov,County,Bonneville County Emergency Communications Center,Idaho Falls,ID
bonnevillecountyidaho.gov,County,"Bonneville County, Idaho",Idaho Falls,ID
bonnevillecountysheriff.gov,County,Bonneville County Sheriff's Office,Idaho Falls,ID
giftidaho.gov,Special district,Greater Idaho Falls Transit,Idaho Falls,ID
idahofalls.gov,City,City of Idaho Falls,Idaho Falls,ID
idahofallsidaho.gov,City,City of Idaho Falls,Idaho Falls,ID
jeromecountyid.gov,County,Jerome County,Jerome,ID
ketchumidaho.gov,City,City of Ketchum,Ketchum,ID
kunaid.gov,City,City of Kuna,Kuna,ID
cityoflapwai.gov,City,City of Lapwai,Lapwai,ID
valleycoemsid.gov,Special district,Valley Countywide EMS District,McCall,ID
vrtidaho.gov,Special district,Valley Regional Transit,Meridian,ID
latahcountyid.gov,County,Latah County Idaho,Moscow,ID
moscowidahoruralfire.gov,Special district,Moscow Rural Fire District,Moscow,ID
elmorecountyid.gov,County,"Elmore County, Idaho",Mountain Home,ID
owyheecounty.gov,County,Owyhee County,Murphy,ID
nampa.gov,City,City of Nampa,Nampa,ID
nampaauditoriumdistrict.gov,Special district,Nampa Auditorium District,Nampa,ID
nampaidaho.gov,City,City of Nampa,Nampa,ID
nampapolice.gov,City,Nampa Police Department,Nampa,ID
cityofnezperce.gov,City,City of Nezperce,Nezperce,ID
cityoforofino.gov,City,City of Orofino Police Department,Orofino,ID
clearwatercountyid.gov,County,Clearwater County,Orofino,ID
southforksewerid.gov,Special district,SOUTH FORK COEUR D'ALENE RIVER SEWER DISTRICT,Osburn,ID
bannockcounty.gov,County,Bannock County,Pocatello,ID
hacpid.gov,City,Housing Alliance and Community Partnerships,Pocatello,ID
pocatello.gov,City,City of Pocatello,Pocatello,ID
postfalls.gov,City,City of Post Falls,Post Falls,ID
postfallspolice.gov,City,Post Falls Police Department,Post FAlls,ID
priestriver-id.gov,City,City of Priest River,Priest River,ID
rathdrum.gov,City,City of Rathdrum,Rathdrum,ID
rathdrumpolice.gov,City,Rathdrum Police Department,Rathdrum,ID
rexburgid.gov,City,The City of Rexburg,Rexburg,ID
rexburgurbanrenewal.gov,Special district,City of Rexburg,Rexburg,ID
cityofrigby.gov,City,City of Rigby,Rigby,ID
jeffersonid.gov,County,Jefferson County Idaho,Rigby,ID
cityofrobertsidaho.gov,City,City of Roberts,Roberts,ID
benewahcountyid.gov,County,Benewah County,Saint Maries,ID
bonnerasd.gov,Special district,Bonner County Ambulance Service District,Sandpoint,ID
bonnercoid.gov,County,Bonner County,Sandpoint,ID
bonnercountyid.gov,County,Bonner County,Sandpoint,ID
sandpointidaho.gov,City,City of Sandpoint,Sandpoint,ID
lincolncountyid.gov,County,Lincoln County,Shoshone,ID
shoshonecityid.gov,City,City of Shoshone,Shoshone,ID
spiritlakeid.gov,City,City of Spirit Lake,Spirit Lake,ID
fremontcountyid.gov,County,Fremont County,St Anthony,ID
cityofstanleyid.gov,City,City of Stanley,Stanley,ID
sugarcityidaho.gov,City,"City of Sugar City, Idaho",Sugar City,ID
sunvalleyidaho.gov,City,City of Sun Valley,Sun Valley,ID
uconidaho.gov,City,City of Ucon,Ucon,ID
victoridaho.gov,City,City of Victor,Victor,ID
washingtoncountyid.gov,County,Washington County,Weiser,ID
winchesterid.gov,City,CITY OF WINCHESTER,WINCHESTER,ID
aledoil.gov,City,City of Aledo,Aledo,IL
altontownshipil.gov,City,Alton Township Supervisor's Office,Alton,IL
cityofaltonil.gov,City,City of Alton,Alton,IL
antiochtownshipil.gov,City,Antioch Township,Antioch,IL
jems-il.gov,Special district,Northwest Central Joint Emergency Management System,Arlington Heights,IL
arrowsmithil.gov,City,Village of Arrowsmith,Arrowsmith,IL
arthur-il.gov,City,"Village of Arthur, IL",Arthur,IL
ashmore.gov,City,Village of Ashmore,Ashmore,IL
athensil.gov,City,City of Athens,Athens,IL
cityofatlantail.gov,City,CITY OF ATLANTA,ATLANTA,IL
barrington-il.gov,City,Village of Barrington,Barrington,IL
barringtontwpil.gov,City,Barrington Township,Barrington,IL
cubaassessoril.gov,City,Cuba Township,Barrington,IL
cubatwpil.gov,City,Cuba Township,Barrington,IL
barringtonhills-il.gov,City,Village of Barrington Hills,Barrington Hills,IL
vbhil.gov,City,Village of Barrington Hills,Barrington Hills,IL
bartlettil.gov,City,Village of Bartlett,Bartlett,IL
bartlettilfd.gov,Special district,Bartlett Fire Protection District,Bartlett,IL
bataviail.gov,City,City of Batavia,Batavia,IL
beckemeyeril.gov,City,City of Beckemeyer,Beckemeyer,IL
bedfordpark.gov,City,Village of Bedford Park,Bedford Park,IL
bedfordparkfd.gov,City,Village of Bedford Park Fire,Bedford Park,IL
stclaircountyil.gov,County,St Clair County Illinois,Belleville,IL
vacstclairil.gov,Special district,Veterans Assistance Commission of St. Clair County,Belleville,IL
bciltransit.gov,County,County of Boone,Belvidere,IL
belviderepoliceil.gov,City,Belvidere Police,Belvidere,IL
boonecountyil.gov,County,Boone County Government,Belvidere,IL
bensenville.gov,City,Village of Bensenville,Bensenville,IL
bentonil.gov,City,City of Benton,Benton,IL
franklincountyil.gov,County,Franklin County Government Illinois,Benton,IL
rendlakecdil.gov,Special district,Rend Lake Conservancy District,Benton,IL
berwyn-il.gov,City,City of Berwyn,Berwyn,IL
belvidereil.gov,City,City of Belvidere,Bevlvidere,IL
bishophillil.gov,City,Village of Bishop Hill,Bishop Hill,IL
bloomingtonil.gov,City,City of Bloomington,Bloomington,IL
bnwrdil.gov,Special district,Bloomington and Normal Water Reclamation District,Bloomington,IL
dalefpdil.gov,Special district,Dale Township Fire Protection District,Bloomington,IL
mcleancountyil.gov,County,McLean County,Bloomington,IL
bluemoundil.gov,City,Village of Blue Mound,Blue Mound,IL
bolingbrook.gov,City,Village of Bolingbrook,BolingBrook,IL
villageofbraceville.gov,City,Village of Braceville,Braceville,IL
villageofbradfordil.gov,City,Village of Bradford,Bradford,IL
braidwood.gov,City,City of Braidwood,Braidwood,IL
bridgeview-il.gov,City,Village of Bridgeview,Bridgeview,IL
broadlandsil.gov,City,The Village of Broadlands,Broadlands,IL
broadview-il.gov,City,Village of Broadview,Broadview,IL
brookfieldil.gov,City,Village Of Brookfield,Brookfield,IL
cityofbrookportil.gov,City,City of Brookport,Brookport,IL
bullvalleyil.gov,City,Village of Bull Valley,Bull Valley,IL
burbankil.gov,City,The City of Burbank Illinois,Burbank,IL
burnham-il.gov,City,Village of Burnham,Burnham,IL
burr-ridge.gov,City,Village of Burr Ridge,Burr Ridge,IL
alexandercountyilsheriff.gov,County,Alexander County Sheriff's Office,Cairo,IL
henryctyil.gov,County,Henry County Government,Cambridge,IL
carboncliff.gov,City,Village of Carbon Cliff,Carbon Cliff,IL
villageofcarbonhill-il.gov,City,Village of Carbon Hill,Carbon Hill,IL
carbondaleil.gov,City,City of Carbondale,Carbondale,IL
macoupincountyil.gov,County,Macoupin County Board,Carlinville,IL
macoupincountypdil.gov,County,Macoupin County Public Defender's Office,Carlinville,IL
carlockil.gov,City,Village of Carlock,Carlock,IL
whitecounty-il.gov,County,White County Government,Carmi,IL
carpentersvilleil.gov,City,Village of Carpentersville,Carpentersville,IL
hancockcounty-il.gov,County,Hancock County Board,Carthage,IL
champaign-il.gov,City,City of Champaign,Champaign,IL
champaignil.gov,City,City of Champaign,Champaign,IL
cityofchampaign-il.gov,City,City of Champaign,Champaign,IL
cityofchampaignil.gov,City,City of Champaign,Champaign,IL
chathamil.gov,City,Village of Chatham,Chatham,IL
chatsworthil.gov,City,Town of Chatsworth,Chatsworth,IL
cherryil.gov,City,"Village of Cherry, Illinois",Cherry,IL
chesterilpolice.gov,City,Chester Police Department,Chester,IL
randolphcountyil.gov,County,Randolph County,CHESTER,IL
chi.gov,City,City of Chicago,Chicago,IL
chicago.gov,City,City of Chicago,Chicago,IL
chicagoparkdistrict.gov,Special district,Chicago Park District,Chicago,IL
cookcountyassessoril.gov,County,Cook County Assessor,Chicago,IL
cookcountycourtil.gov,County,Illinois Circuit Court of Cook County,Chicago,IL
cookcountyil.gov,County,Cook County Government - Bureau of Technology,Chicago,IL
cookcountysheriffil.gov,County,Cook County Sheriff's Office,Chicago,IL
mwrdil.gov,Special district,Metropolitan Water Reclamation District of Greater Chicago,Chicago,IL
christopherpolice.gov,City,CHRISTOPHER POLICE DEPARTMENT,CHRISTOPHER,IL
dewittcountyil.gov,County,"Dewitt County, Illinois",Clinton,IL
dewitthousingil.gov,Special district,DeWitt County Housing Authority,Clinton,IL
coalcity-il.gov,City,Village of Coal City,Coal City,IL
coalcitypld-il.gov,Special district,Coal City Public Library District,Coal City,IL
cityofcolchesteril.gov,City,City of Colchester,Colchester,IL
columbiail.gov,City,City of Columbia,Columbia,IL
columbiailfpd.gov,Special district,Columbia Fire Protection District,Columbia,IL
lyonstownshipil.gov,City,Lyons Township,Countryside,IL
cresthill.gov,City,City of Crest Hill,Crest Hill,IL
villageofdakotail.gov,City,Village of Dakota,DAKOTA,IL
vercountyil.gov,County,Vermilion County,Danville,IL
darienil.gov,City,City of Darien,Darien,IL
cirdcil.gov,Special district,Central Illinois Regional Dispatch Center,Decatur,IL
decaturil.gov,City,City of Decatur Illinois,Decatur,IL
decaturillinois.gov,City,"City of Decatur, Illinois",Decatur,IL
maconilcourts.gov,County,Macon County Circuit Court,Decatur,IL
villageoflongcreekil.gov,City,Village of Long Creek,Decatur,IL
villageofdepue.gov,City,Village of Depue,Depue,IL
desplainesil.gov,City,City of Des Plaines,Des Plaines,IL
divernonil.gov,City,Village of Divernon,Divernon,IL
dixillinois.gov,City,Village of Dix,Dix,IL
dixonil.gov,City,"City of Dixon, IL",Dixon,IL
leecountyil.gov,County,LEE COUNTY,DIXON,IL
reaganmtd.gov,Special district,Reagan Mass Transit District,Dixon,IL
dowellillinois.gov,City,Village of Dowell,Dowell,IL
oldtowntownship-il.gov,City,Old Town Township,Downs,IL
duquoinil.gov,City,City of Du Quoin,Du Quoin,IL
villageofdunlap-il.gov,City,Village of Dunlap,Dunlap,IL
villageofdurandil.gov,City,Village of Durand,Durand,IL
villageofeastaltonil.gov,City,Village of East Alton,East Alton,IL
madisoncountyil.gov,County,Madison County Government,Edwardsville,IL
madcosao.gov,County,Madison County State's Attorney,"Edwardsville, IL",IL
effinghamcountyil.gov,County,Effingham County,Effingham,IL
blackberrytwpil.gov,City,Blackberry Township,Elburn,IL
elburn.gov,City,Village of Elburn,Elburn,IL
elburnfire.gov,Special district,Elburn & Countryside Fire Protection District,Elburn,IL
eldoradoil.gov,City,City of Eldorado,Eldorado,IL
elginil.gov,City,"City of Elgin, Illinois",Elgin,IL
platotwp.gov,City,Plato Township,Elgin,IL
hardincountyil.gov,County,Hardin County,Elizabeth,IL
egvilparks.gov,Special district,Elk Grove Park District,Elk Grove Village,IL
elkgroveil.gov,City,Village of Elk Grove,Elk Grove Village,IL
villageofequalityil.gov,City,"Village of Equality, Illinois",EQUALITY,IL
eurekaillinois.gov,City,City of Eureka,Eureka,IL
woodfordcountyil.gov,County,County of Woodford,Eureka,IL
fairburyil.gov,City,"City of Fairbury, Illinois",Fairbury,IL
waynecountyil.gov,County,"COUNTY OF, WAYNE",FAIRFIELD,IL
fairviewheightsil.gov,City,"City of Fairview Heights, IL",Fairview Heights,IL
cityoffarmingtonil.gov,City,City of Farmington,Farmington,IL
clayhousingil.gov,Special district,Clay County Housing Authority,Flora,IL
florapdil.gov,City,Flora Police Department,Flora,IL
forsyth-il.gov,City,Village of Forsyth,Forsyth,IL
frankfortfireil.gov,Special district,Frankfort Fire Protection District,FRANKFORT,IL
stephensoncountyil.gov,County,Stephenson County,Freeport,IL
jodaviesscountyil.gov,County,"Jo Daviess County, IL Local Government",Galena,IL
knoxcountyil.gov,County,County of Knox,Galesburg,IL
galvail.gov,City,City of Galva,Galva,IL
kanecountyil.gov,County,Kane County Illinois,Geneva,IL
germanvalleyil.gov,City,Village of German Valley,German Valley,IL
glencarbonil.gov,City,Village of Glen Carbon,Glen Carbon,IL
gecparkdistrictil.gov,Special district,Glen Ellyn Countryside Park District,Glen Ellyn,IL
glencoeil.gov,City,Village of Glencoe,Glencoe,IL
goodfieldil.gov,City,Village of Goodfield,Goodfield,IL
villageofgoreville.gov,City,Village of Goreville,Goreviile,IL
grafton-il.gov,City,City of Grafton Illinois,Grafton,IL
villageofgranvilleil.gov,City,Village of Granville,Granville,IL
grayville-il.gov,City,City of Grayville,Grayville,IL
bondcountyil.gov,County,Bond County,Greenville,IL
bondcountysa.gov,County,Bond County State's Attorney,Greenville,IL
